Sample,(P1) Function Signature Insertion,(P2) Import Insertion,(P3) Function Insertion,(P4) Function Body Cloning,(P5) Global Insertion,(P6) Element Insertion,(P7) E-port Insertion,(P8) Data Insertion,(P9) Data Encryption,(P10) Custom Section Insertion,(P11) NOP Insertion,(P12) Stack Operation Insertion - Memory,(P12) Stack Operation Insertion - Numeric,(P12) Stack Operation Insertion - Bitwise,(P12) Stack Operation Insertion - Conversion,(P12) Stack Operation Insertion - Interpretation,(P12) Stack Operation Insertion - Utility,(P13) Opaque Predicate Insertion,(P14) Pro-y Function Insertion,(P15) Direct to Indirect Call Transformation,(P16) Sub->Add Operation Transformation,(P16) Add->Sub Operation Transformation,(P17) Shift Operation Transformation,(P18) Eqz Operation Transformation,(P19) Offset E-pansion,(P20) Transforming -OR to MBA,(P20) Transforming OR to MBA,(P21) Constant Value Splitting,(P22) Constant Value Transformation
4aeb552c50a136a127776460ad95442f3c2be5c54c11d72179f4be2641e541e5,-,-,-,-,-,-,-,-,-,-,10,10,10,20,10,10,10,-,-,-,-,-,20,-,-,20.0,50,30,70
564ec92dc5ab7f78a3a02711313a427a50562e40f941797fe29a69f581ef7ea2,-,-,-,-,-,-,-,-,-,-,40,40,20,80,40,20,10,-,-,-,-,-,70,-,-,100.0,-,-,-
62b27a0979a9e7a42be8147bbaa5815c32faf28beb7958dba73e196e478f9103,10,10,-,-,-,-,-,-,-,10,30,-,70,-,-,-,-,-,-,-,-,-,-,-,-,20.0,-,-,-
68a079b4c9d954aca9de4837fa8e69326b604a59bcd4d21ce67674e8264a1329,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,-,-,-,-,-,20,-,-,20.0,30,20,40
6f5d3d8e3b3a69a381e1b2c27ce2715b063e634d679b4ab051f035c663fa3830,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,-,-,-,-,-,20,-,-,10.0,30,20,20
9411d45630cddcbe2e83bab78f26a26c0f31a3faa532a42dcf3166751c7c58ac,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,-,-,-,-,-,10,-,-,30.0,30,20,30
a2e5deb848a6ceaea7ec0172b47ebef36fb31b74ab78808e5f0ce2477338268a,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,-,-,-,-,-,20,-,-,30.0,40,20,30
aa9721f475b1f8b02d14e88f344462fd17a45522a037eee36e8a43d9c4f8f4a3,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,-,-,-,-,-,30,-,-,20.0,30,20,20
b4b4b76cdc2486f268322754f8193904ccee75e77e26692b9d794e50dc9734fc,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,-,-,-,-,-,20,-,-,30.0,40,20,30
b9fe925faa206714c3d005b2786c79ff7026c5e28a16afd74ffa9ee4f7c2dba6,-,-,-,-,-,-,-,-,-,-,20,10,10,10,10,10,10,-,-,-,-,-,20,-,-,20.0,20,20,50
c266361a48c0b03ae839b6d96e2175f1a9b28299998bd0562f5bc84956d9f71d,-,-,-,-,-,-,-,-,-,-,60,30,20,40,30,20,10,-,-,-,-,-,-,-,-,90.0,60,-,-
cdb0722e964fb12a131ab32a2742e71f60d8a0bb8742a5eedec3e8a1ef1f403c,-,-,-,-,-,-,-,-,-,-,30,30,20,40,30,30,10,-,-,-,-,-,70,-,-,80.0,100,-,-
ce076c0389dbdbf5f7976540f5a035b8ff6a9d81c453272609bc9b32bf24c9e4,-,-,-,-,-,-,-,-,-,-,20,10,10,30,10,20,10,-,-,-,-,-,40,-,-,50.0,60,60,-
cff649c7a27a39978a38ed1570649e119f01cf2cc665eb7c7eceb7aa47d632d2,-,-,-,-,-,-,-,-,-,-,10,10,10,20,10,10,10,-,-,-,-,-,50,-,-,30.0,50,30,80
d16492b35342ccf11537866a3ee7712c9b8b214b5fa7488610fdc712bbc2a8af,-,-,-,-,-,-,-,-,-,-,20,10,10,10,10,10,10,-,-,-,-,-,30,-,-,20.0,20,10,20
da9c2977c12d1bed397296313423d14a6f680ee0ee23d62e32e78f5087c785e1,-,-,-,-,-,-,-,-,-,-,40,20,10,30,10,10,10,-,-,-,-,-,70,-,-,30.0,60,40,-
df515041877fd8afbb466aceba5581d087b4f26bbb5b8deb10678029c79ca1ea,-,-,-,-,-,-,-,-,-,-,20,10,10,10,10,10,10,-,-,-,-,-,30,-,-,30.0,40,20,20
f13939fd1a478217dd8f4296c2c3ac917171e91a4835fa083d18bda73be6afea,-,-,-,-,-,-,-,-,-,-,50,50,20,70,30,30,20,-,-,-,-,-,-,-,-,100.0,-,90,-
f7b64003df21064e3d61bf506c5775f4ba510f2d1f5f74de5e0aff3221ae0bbe,20,-,10,-,-,10,10,-,10,10,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,30.0,60,20,20
fbec07699ee9c4837c6eab0dbc4a6cb443fc8f01f49f8eb9dd8892a6fc873d59,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,-,-,-,-,-,40,-,-,50.0,10,-,20
fd6229590c0f6c1af95c5243de14d221945b49f1f2452e70265fdab1e0bed25c,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,-,-,-,-,-,20,-,-,30.0,30,20,90
Average,13.333333333333334,10,10,-,-,10,10,-,10,16.666666666666668,24,20,14.482758620689655,24.285714285714285,15,13.928571428571429,11.071428571428571,-,-,-,-,-,38.8,-,-,42.25806451612903,41.2,27.391304347826086,34.73684210526316
standard deviation,5.774,-,-,-,-,-,-,-,-,11.547,16.733,19.272,11.522,19.894,8.819,6.289,3.15,-,-,-,-,-,23.861,-,-,27.654,21.276,18.882,22.452
skewness,1.732,,,-,-,,,-,,1.732,0.967,2.894,4.273,1.39,1.57,1.398,2.686,-,-,-,-,-,1.134,-,-,1.074,0.846,2.187,1.47
Median,10,10,10,-,-,10,10,-,10,10,20,10,10,10,20,10,10,-,-,-,-,-,20,-,-,30.0,40,20,30
IQR,5,0,0,-,-,0,0,-,0,10,30,20,10,0,0,10,10,-,-,-,-,-,0,-,-,30.0,30,10,20
