Sample,(P1) Function Signature Insertion,(P2) Import Insertion,(P3) Function Insertion,(P4) Function Body Cloning,(P5) Global Insertion,(P6) Element Insertion,(P7) E-port Insertion,(P8) Data Insertion,(P9) Data Encryption,(P10) Custom Section Insertion,(P11) NOP Insertion,(P12) Stack Operation Insertion - Memory,(P12) Stack Operation Insertion - Numeric,(P12) Stack Operation Insertion - Bitwise,(P12) Stack Operation Insertion - Conversion,(P12) Stack Operation Insertion - Interpretation,(P12) Stack Operation Insertion - Utility,(P13) Opaque Predicate Insertion,(P14) Pro-y Function Insertion,(P15) Direct to Indirect Call Transformation,(P16) Sub->Add Operation Transformation,(P16) Add->Sub Operation Transformation,(P17) Shift Operation Transformation,(P18) Eqz Operation Transformation,(P19) Offset E-pansion,(P20) Transforming -OR to MBA,(P20) Transforming OR to MBA,(P21) Constant Value Splitting,(P22) Constant Value Transformation
4aeb552c50a136a127776460ad95442f3c2be5c54c11d72179f4be2641e541e5,10,-,-,-,-,-,-,-,-,-,20,20,20,30,20,30,10,-,-,-,-,-,-,-,-,-,-,-,-
564ec92dc5ab7f78a3a02711313a427a50562e40f941797fe29a69f581ef7ea2,-,-,-,-,-,-,-,-,-,-,30,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62b27a0979a9e7a42be8147bbaa5815c32faf28beb7958dba73e196e478f9103,10,10,-,-,-,-,-,-,-,10,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68a079b4c9d954aca9de4837fa8e69326b604a59bcd4d21ce67674e8264a1329,-,-,-,-,-,-,-,-,-,-,30,30,50,40,40,40,30,-,-,-,-,-,-,-,-,-,-,-,-
6f5d3d8e3b3a69a381e1b2c27ce2715b063e634d679b4ab051f035c663fa3830,80,-,-,-,-,-,-,-,-,-,30,40,-,70,100,80,-,-,-,-,-,-,-,-,-,-,-,-,-
9411d45630cddcbe2e83bab78f26a26c0f31a3faa532a42dcf3166751c7c58ac,20,-,-,-,-,-,-,-,-,-,10,20,20,10,20,30,30,-,-,-,-,-,-,-,-,-,-,-,-
a2e5deb848a6ceaea7ec0172b47ebef36fb31b74ab78808e5f0ce2477338268a,-,-,-,-,-,-,-,-,-,-,30,40,-,50,70,60,-,-,-,-,-,-,-,-,-,-,-,-,-
aa9721f475b1f8b02d14e88f344462fd17a45522a037eee36e8a43d9c4f8f4a3,-,-,-,-,-,-,-,-,-,-,30,40,-,80,70,100,100,-,-,-,-,-,-,-,-,-,-,-,-
b4b4b76cdc2486f268322754f8193904ccee75e77e26692b9d794e50dc9734fc,20,-,-,-,-,-,-,-,-,-,20,20,60,50,30,40,40,-,-,-,-,-,-,-,-,-,-,-,-
b9fe925faa206714c3d005b2786c79ff7026c5e28a16afd74ffa9ee4f7c2dba6,-,-,-,-,-,-,-,-,-,-,30,30,90,60,60,60,50,-,-,-,-,-,-,-,-,-,-,-,-
c266361a48c0b03ae839b6d96e2175f1a9b28299998bd0562f5bc84956d9f71d,-,-,-,-,-,-,-,-,-,-,20,30,50,40,30,30,40,-,-,-,-,-,-,-,-,-,-,-,-
cdb0722e964fb12a131ab32a2742e71f60d8a0bb8742a5eedec3e8a1ef1f403c,30,-,-,-,-,-,-,-,-,-,20,50,-,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ce076c0389dbdbf5f7976540f5a035b8ff6a9d81c453272609bc9b32bf24c9e4,80,-,-,-,-,-,-,-,-,-,20,30,60,40,30,40,40,-,-,-,-,-,-,-,-,-,-,-,-
cff649c7a27a39978a38ed1570649e119f01cf2cc665eb7c7eceb7aa47d632d2,-,-,-,-,-,-,-,-,-,-,20,20,20,30,20,20,20,-,-,-,-,-,-,-,-,-,-,-,-
d16492b35342ccf11537866a3ee7712c9b8b214b5fa7488610fdc712bbc2a8af,-,-,-,-,-,-,-,-,-,-,30,40,-,80,80,90,-,-,-,-,-,-,-,-,-,-,-,-,-
da9c2977c12d1bed397296313423d14a6f680ee0ee23d62e32e78f5087c785e1,-,-,-,-,-,-,-,-,-,-,20,30,50,40,30,30,30,-,-,-,-,-,-,-,-,-,-,-,-
df515041877fd8afbb466aceba5581d087b4f26bbb5b8deb10678029c79ca1ea,-,-,-,-,-,-,-,-,-,-,30,50,-,80,80,60,-,-,-,-,-,-,-,-,-,-,-,-,-
f13939fd1a478217dd8f4296c2c3ac917171e91a4835fa083d18bda73be6afea,60,-,-,-,-,-,-,-,-,-,40,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
f7b64003df21064e3d61bf506c5775f4ba510f2d1f5f74de5e0aff3221ae0bbe,10,-,10,-,-,20,10,-,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
fbec07699ee9c4837c6eab0dbc4a6cb443fc8f01f49f8eb9dd8892a6fc873d59,40,-,-,-,-,-,-,-,-,-,30,50,-,70,70,90,-,-,-,-,-,-,-,-,-,-,-,-,-
fd6229590c0f6c1af95c5243de14d221945b49f1f2452e70265fdab1e0bed25c,80,-,-,-,-,-,-,-,-,-,20,40,40,30,40,30,40,-,-,-,-,-,-,-,-,-,-,-,-
Average,41.333333333333336,10,10,-,-,20,10,-,10,10,27.333333333333332,37.142857142857146,48.57142857142857,51.2,49.583333333333336,53.333333333333336,39.333333333333336,-,-,-,-,-,-,-,-,-,-,-,-
standard deviation,30.907,0,-,-,-,-,-,-,-,0,9.444,11.819,22.823,21.276,23.121,24.436,21.202,-,-,-,-,-,-,-,-,-,-,-,-
skewness,0.66,,,-,-,,,-,,,0.582,0.314,0.521,-0.057,0.424,0.474,1.657,-,-,-,-,-,-,-,-,-,-,-,-
Median,30,10,10,-,-,20,10,-,10,10,30,35,50,50,40,50,40,-,-,-,-,-,-,-,-,-,-,-,-
IQR,55,0,0,-,-,0,0,-,0,0,10,20,30,40,40,45,15,-,-,-,-,-,-,-,-,-,-,-,-
